E1,Relation,E2
blood glucose levels,associated with,Alzheimer's disease
blood levels of osteoprotegerin,are not associated with,Alzheimer's disease
blood levels of sRANKL,are not associated with,Alzheimer's disease
blood OCN levels,causal effects on,Alzheimer's disease
blood osteoprotegerin levels,no causal link exists between,Alzheimer's disease
Blood pressure variability,causal relationship between,Alzheimer's disease
BMTs,cause,Alzheimer's disease
BMTs,is causal,Alzheimer's disease
bone mineral density,influence on,Alzheimer's disease
bone mineral density and inflammation,investigated,Alzheimer's disease
bone mineral density and inflammation,was assessed,Alzheimer's disease
brain biomarkers,of,Alzheimer's disease
brain regions,affected by,Alzheimer's disease
brain structure,is causal to,Alzheimer's disease
causal association,between,Alzheimer's disease
causal association genetically inferred of prostate cancer,on,Alzheimer's disease
causal relationship,was found with,Alzheimer's disease
causal relationship,with,Alzheimer's disease
cerebral small vessel disease,is associated with,Alzheimer's disease
cerebrospinal fluid biomarker profile,is associated with,Alzheimer's disease
cerebrospinal fluid protein levels,better associated with,Alzheimer's disease
certain gut microbiota,has causal link with,Alzheimer's disease
certain gut microbiota,causal link exists between,Alzheimer's disease
changes in brain structure,cause,Alzheimer's disease
circulating metabolites,have genetic causal relationship with,Alzheimer's disease
clinical interpretation of blood-based biomarkers,for,Alzheimer's disease
Cognitive decline,is a symptom of,Alzheimer's disease
cognitive decline,can lead to,Alzheimer's disease
cognitive impairment,has been associated with,Alzheimer's disease
common pathology,associated with,Alzheimer's disease
core genes,associated with,Alzheimer's disease
CSF p-tau/Aβ42,is associated with,Alzheimer's disease
decreased appendicular lean mass,increases the risk for,Alzheimer's disease
dementia,due to,Alzheimer's disease
disease mechanisms,may be influenced by,Alzheimer's disease
Down syndrome,increases the risk of,Alzheimer's disease
dyslexia,causal effect on,Alzheimer's disease
dyslexia,no causal relationship was found between,Alzheimer's disease
E(2),impact on,Alzheimer's disease
E(2),impacts,Alzheimer's disease
early cognitive decline,in,Alzheimer's disease
effect,was due to,Alzheimer's disease
effect,was not significant due to,Alzheimer's disease
elevated pulse pressure,has been associated with,Alzheimer's disease
Epigenetic aging,was caused by,Alzheimer's disease
epigenetic aging,was not caused by,Alzheimer's disease
epigenetic aging,caused,Alzheimer's disease
epigenetic aging,had a causal relationship,Alzheimer's disease
Epigenetic aging,did not have a causal relationship with,Alzheimer's disease
Epilepsy,is associated with,Alzheimer's disease
erectile dysfunction,is a potential causal association with,Alzheimer's disease
excessive amyloid-β accumulation,is one of the causes of,Alzheimer's disease
factors,influence,Alzheimer's disease
five plasma proteins,had causal effects on,Alzheimer's disease
five SNPs,were found to be associated with,Alzheimer's disease
five types of dementia,included,Alzheimer's disease
functional impairments,include,Alzheimer's disease
GD,no causal linkages between,Alzheimer's disease
GD,has no causal linkages with,Alzheimer's disease
genetic association,is associated with,Alzheimer's disease
genetically predicted specific-site osteoarthritis,was not associated with,alzheimer's disease
genetically predicted three structural IDPs,had effects on,Alzheimer's disease
Genome-wide association study (GWAS) summary statistics,for,Alzheimer's disease
grey matter,is associated with,Alzheimer's Disease
gut microbiota,causal relationship between,Alzheimer's disease
having an apolipoprotein E ε4 allele,were associated with,Alzheimer's disease
HbA1c,were negatively associated with,Alzheimer's disease
HbA1c levels,associated with,Alzheimer's disease
heightened risk of Alzheimer's Disease occurrence,is genetically predicted by,Alzheimer's Disease
heterogeneous course of Alzheimer's disease,makes,Alzheimer's disease
"high-fat, high-sugar diet",causes,Alzheimer's disease
higher age,were associated with,Alzheimer's disease
higher risk,is associated with,Alzheimer's disease
Human apolipoprotein E genotypes,are associated with,Alzheimer's disease
impact of E(2),on,Alzheimer's disease
impaired sleep,is associated with,Alzheimer's disease
increase in between-network connectivity,predicts,Alzheimer's disease
increase in Semantic intrusion errors,may lead to,Alzheimer's disease
increased computer use,may reduce the risk of,Alzheimer's disease
inflammation,influence on,Alzheimer's disease
initial stage of Alzheimer's disease,during,Alzheimer's disease
it,contributes to,Alzheimer's disease
its impact,on,Alzheimer's disease
KLOTHO-VS heterozygosity,was positively associated with,Alzheimer's disease
lack of vitamin D,is associated with,Alzheimer's disease
Lewy body co-pathology,is associated with,Alzheimer's disease
Lewy body dementia,is distinguishable at the genome-wide level from,Alzheimer's disease
Lewy body dementia,shares genetic risk factors with,Alzheimer's disease
lipid metabolites,causal relationship between,Alzheimer's disease
lipid-lowering drugs,have been determined on,Alzheimer's disease
longitudinal heterogeneous changes,in,Alzheimer's disease
lysosomal dysfunction,could be an underlying cause of,Alzheimer's disease
marker,is associated with,Alzheimer's disease
markers,are associated with,Alzheimer's disease
metabolic disorders,can cause,Alzheimer's disease
metabolites,causal relationship between,Alzheimer's disease
Methyl-4-hydroxybenzoic acid,has significant positive causal association with,Alzheimer's disease
Methyl-4-hydroxybenzoic acid,has causal relationship with,Alzheimer's disease
mild cognitive impairment,due to,Alzheimer's disease
Mild cognitive impairment,can convert to,Alzheimer's disease
mild dementia,due to,Alzheimer's disease
mitochondrial dysfunction,is associated with,Alzheimer's disease
mitochondrial protein gene variants,notably with,Alzheimer's disease
multifactorial cause,causes,Alzheimer's disease
multifactorial cause of development,is involved in,Alzheimer's disease
multifactorial process,causes,Alzheimer's disease
neurobehavioral syndrome,is associated with,Alzheimer's disease
neurodegeneration and cognitive decline,occurs in,Alzheimer's disease
neurodegenerative diseases,notably associated with,Alzheimer's disease
neuroinflammation,contributes to,Alzheimer's disease
neuronal injury,is associated with,Alzheimer's disease
neuronal injury,is closely related to,Alzheimer's disease
neuropathologic change in neocortex,is associated with,Alzheimer's Disease
β-amyloid pathology,influence on,Alzheimer's disease
oral microbiota,causal relationship between,Alzheimer's disease
osteocalcin,was associated with,Alzheimer's disease
osteocalcin levels,causal relationship between,Alzheimer's disease
osteocalcin levels,had a causal relationship with,Alzheimer's disease
Osteocalcin levels,were associated with,Alzheimer's disease
other studied entertainment activities,had no significant causal relationship with,Alzheimer's disease
other types of dementia,in addition to,Alzheimer's disease
P-tau-induced mitochondrial dysfunction,is due to,Alzheimer's disease
pathological changes,occur in,Alzheimer's disease
pathology of Progressive Supranuclear Palsy,is associated with,Alzheimer's Disease
pathways,indicate how can influence,Alzheimer's disease
peripheral blood biomarkers,are associated with,Alzheimer's disease
phagocytic exhaustion,is consistent in,Alzheimer's disease
plasma Amyloid β-peptides levels,predict,Alzheimer's disease
plasma Aβ type 2 diabetes levels,are not associated with,Alzheimer's disease
plasma biomarker levels,could be influenced by,Alzheimer's disease
plasma NfL levels,with,Alzheimer's disease
plasma proteins,were significantly associated with,Alzheimer's disease
plasma Tau biomarkers,associated with,Alzheimer's disease
potential intervention strategy,for,Alzheimer's disease
potential therapeutic targets,may be influenced by,Alzheimer's disease
protein tau,is the cause of,Alzheimer's disease
protein tau,is the primary cause of,Alzheimer's disease
reading activity,may be a potential intervention strategy for,Alzheimer's disease
risk of cerebral microbleeds,associated with,Alzheimer's disease
risk of dementia,is associated with,Alzheimer's disease
risk of white matter hyperintensities,associated with,Alzheimer's disease
SBPV,had significant causal effects on,Alzheimer's disease
serum ANGPT-2,is associated with,Alzheimer's disease
several plasma biomarkers,associated with,Alzheimer's disease
sleep disturbances,are associated with,Alzheimer's disease
specific lipid metabolites,have causal effects on,Alzheimer's disease
