E1,Relation,E2
BMI,causal association between,Endometrial carcinoma risk
BMI,adjusting for,having a less negative attitude toward insulin treatment
BMI,is associated with,hyperuricemia
BMI,has causal relationship with,increased risk of liver cancer
BMI,was associated with,the outcome
BMI categorization,significantly influenced,hyperuricemia
BMI categorization,influenced,hyperuricemia
BMI categorization,significantly influenced,triglyceride levels
BMI categorization,influenced,triglyceride levels
body fat percentage,were causally associated with,abnormal spermatozoa
body fat percentage,associated with,abnormal spermatozoa
body fat percentage,associated with,abnormal spermatozoa in male infertility
body fat percentage,and,resistin
body mass index,influenced,disease progression
body mass index,include,factors influencing outcomes
body mass index,was associated with,higher incidence of urine ACR
body mass index,was associated with,increased risk of liver cancer
body mass index,associated with,increased risk of type 2 diabetes
body mass index,is associated with,inflammatory bowel disease
body mass index,associated with,inflammatory bowel disease
body mass index,associated with,pancreatitis
body mass index,mediate,pancreatitis
body mass index,are associated with,pancreatitis
body mass index,could increase,risk of AA
body mass index,associated with,rotator cuff syndrome
body mass index,was associated with,systolic blood pressure
body mass index,was associated with,type 2 diabetes mellitus
body mass index (BMI),influenced,associations between Type 2 diabetes mellitus and glycated hemoglobin with vascular and valvular calcifications
body mass index and inflammatory bowel disease,is associated with,pancreatitis
body weight,are factors associated with,obesity
body weight gain,with,insulin
body weight gain with insulin,is usually,modest
bone metabolic disorders,through,inflammatory responses
bone metabolic disorders,through,oxidative stress
bone-brain axis,may be a cause of,cognitive impairment in T2DM
both conditions,are known to cause,independent risk factor for cardio-cerebrovascular events (CCDs) and overall mortality
both conditions,are known to cause,low-grade inflammation
both genders,of,training and testing
both types of music,were associated with,significantly lower systolic blood pressure
BP-lowering treatment,was associated with,lower odds of dementia/CD in participants with cognitive impairment
brain,contains,hyperphosphorylated tau protein
brain atrophy,is especially significant in,highly susceptible regions
brain disorders,like,Alzheimer's disease
brain disorders,like,attention deficit hyperactivity disorder
brain disorders,like,obsessive compulsive disorder
brain functional network connectivity,changed,sleep habits
brain insulin,has been associated with,brain disorders
brain insulin resistance,contributes to,cognitive impairment
brain insulin resistance,is an early peripheral alteration that can lead to,development of pathologies such as obesity and Type 2 Diabetes Mellitus (T2
brain iron deposition,using,QSM
brain iron deposition,using,quantitative susceptibility mapping (QSM)
"breakdown of carbohydrates, lipids, and proteins",contributes to,excessive nutrient absorption
"breakdown of carbohydrates, lipids, and proteins",is a cause of,excessive nutrient absorption
"breakdown of carbohydrates, lipids, and proteins",leads to,progressive β-cell failure
Bronchiectasis,is also an independent protective factor for,asthma
BS,led to,significantly higher fasting
BS,led to,significantly higher fasting plasma glucose
burden of type 2 diabetes mellitus,attributable to,low birth weight
burden of type 2 diabetes mellitus attributable to low birth weight,is caused by,interventions
burning of fossil fuels,are the main causes of,climate change
BZYQF,alleviates,hyposalivation caused by T2DM
BZYQF,may alleviate,hyposalivation caused by T2DM
BZYQF,may be used to treat,hyposalivation caused by T2DM
BZYQF,alleviates,T2DM-caused hyposalivation
C-reactive protein,associated with,increased risk
C-reactive protein levels,were associated with,TyG index
C-reactive protein-triglyceride-glucose index,relationship with,all-cause and cardiovascular mortality
C-reactive protein-triglyceride-glucose index,relationship between,all-cause mortality
C-reactive protein-triglyceride-glucose index,is unclear,all-cause mortality
C-reactive protein-triglyceride-glucose index,relationship between,cardiovascular mortality
C-reactive protein-triglyceride-glucose index,is associated with,range of metabolic and inflammatory biomarkers
C-reactive protein-triglyceride-glucose index levels,association between,risks of all-cause mortality
C-reactive protein-triglyceride-glucose index levels,associated with,risks of all-cause mortality
C-reactive protein-triglyceride-glucose index levels,were assessed,risks of all-cause mortality
C-reactive protein-triglyceride-glucose index levels,association between,risks of cardiovascular mortality
C-reactive protein-triglyceride-glucose index levels,were assessed,risks of cardiovascular mortality
C. morifolium and probiotics combination,modulated,expression of genes associated with lipid metabolism
C. morifolium and probiotics combination,led to,liver receiving more substrates for fatty acid oxidation
C3 gene loci rs11569562,is associated with,incidence of type 2 diabetes mellitus combined with coronary heart disease
CAD,is a condition that can be associated with,reduced CAD copy number
CAD risk,was associated with,Hp2-2 phenotype
CAD-T2DM,was negatively associated with,presence of L-pipecolic acid
CAD-T2DM,was negatively associated with,presence of pipecolinic acid
cadmium,causes,cadmium
calcific aortic valvular stenosis,had an impact on,calcifications
calcific aortic valvular stenosis,both had an impact on,calcifications
calcific aortic valvular stenosis,was a cause of,elevated fasting glucose
calcific aortic valvular stenosis,had effect on,fasting glucose
calcific aortic valvular stenosis,had an impact on,fasting glucose levels
calcifications,was partially mediated by,both types of calcifications
calcium levels,mediation effects on,calcific aortic valvular stenosis
calcium levels,partially mediated,impact of Type 2 diabetes mellitus on both types of calcifications
calcium levels,mediation effects on,impact of Type 2 diabetes mellitus on coronary artery calcification
CAMP intervention,having,better attendance
CAMP intervention,having,better reach
CAMP intervention,having,comparable effectiveness in reducing the risk of T2DM
CAMP intervention,is expected to improve,postpartum care for GDM in China
CAMP intervention,reducing the risk of,T2DM
Canakinumab,is used in,prevention and control of type 2 diabetes mellitus
Cancer antigen (CA)199,is associated with,glucose and lipid metabolic disorder
cancer antigen (CA)199 levels,associated with,glucose and lipid metabolic disorder
candidate causal regulatory variants,for,type 2 diabetes mellitus
carbonyl stress,due to,decreased glyoxalase-1 activity (Glo-I)
cardiac function abnormalities,caused,increased myocardial fibrosis
cardiac function abnormalities,increased,myocardial fibrosis
